,5-SPFF,3-SPFF,SPFF,Student,Agent
0,0.00624,0.0176,0.05812,0.01116,0.01556
1,0.0146,0.03252,0.08696,0.02136,0.02844
2,0.02964,0.05352,0.11932,0.04044,0.05036
3,0.0532,0.07596,0.1508,0.0656,0.0696
4,0.07972,0.10368,0.1796,0.09148,0.0976
5,0.10648,0.13168,0.2024,0.11764,0.12172
6,0.12992,0.1544,0.22984,0.14492,0.14956
7,0.1566,0.17808,0.25284,0.16704,0.17612
8,0.17752,0.19772,0.27324,0.1924,0.20048
9,0.19972,0.21876,0.28864,0.21236,0.2206
10,0.22616,0.24044,0.30904,0.23568,0.2404
11,0.24184,0.25612,0.32568,0.25184,0.26336
12,0.261,0.27584,0.34036,0.26736,0.28012
