,Index,Value
0,29,0.5928681446456644
1,34,0.17987578556425893
2,39,0.08853340487044328
3,50,0.07246062008845813
4,44,0.0662620448311752
5,12,0.0
6,21,0.0
7,20,0.0
8,19,0.0
9,18,0.0
10,17,0.0
11,16,0.0
12,15,0.0
13,14,0.0
14,13,0.0
15,53,0.0
16,11,0.0
17,23,0.0
18,10,0.0
19,9,0.0
20,8,0.0
21,7,0.0
22,6,0.0
23,5,0.0
24,4,0.0
25,3,0.0
26,2,0.0
27,1,0.0
28,22,0.0
29,26,0.0
30,24,0.0
31,25,0.0
32,51,0.0
33,49,0.0
34,48,0.0
35,47,0.0
36,46,0.0
37,45,0.0
38,43,0.0
39,42,0.0
40,41,0.0
41,40,0.0
42,38,0.0
43,37,0.0
44,36,0.0
45,35,0.0
46,33,0.0
47,32,0.0
48,31,0.0
49,30,0.0
50,28,0.0
51,27,0.0
52,52,0.0
53,0,0.0
