,3-SPFF,SPFF,Student,Agent,2-SPFF
0,48.24,44.188,48.032,48.236,47.008
1,46.748,41.304,46.676,46.612,45.04
2,44.648,38.068,44.764,44.328,42.596
3,42.404,34.92,42.648,42.12,39.884
4,39.632,32.04,39.964,39.736,37.488
5,36.832,29.76,37.136,36.916,34.988
6,34.56,27.016,34.616,34.152,32.556
7,32.192,24.716,32.392,31.952,30.428
8,30.228,22.676,30.388,29.484,27.992
9,28.124,21.136,28.044,27.796,26.424
10,25.956,19.096,25.536,25.412,24.324
11,24.388,17.432,23.972,23.752,22.644
12,22.416,15.964,22.072,21.984,20.932
