#{"t_start": 1665987903.7519228, "env_id": "DeepRMSA-v0"}
r,l,t,service_blocking_rate,episode_service_blocking_rate,bit_rate_blocking_rate,episode_bit_rate_blocking_rate
50,50,0.106274,0.0,0.0,0.0,0.0
48,50,0.232842,0.01,0.02,0.013460015835312747,0.029219663114472327
42,50,0.357735,0.03333333333333333,0.08,0.0463749868849019,0.11100746268656717
18,50,0.453534,0.105,0.32,0.1301402237277454,0.38254821372115083
22,50,0.552764,0.14,0.28,0.1657794200538611,0.30400244424075773
34,50,0.659939,0.14333333333333334,0.16,0.16934009091384084,0.18726355611601514
24,50,0.762237,0.16,0.26,0.19019149510024275,0.31863533955584167
42,50,0.882232,0.15,0.08,0.17943740095087163,0.09953239812959253
12,50,0.977234,0.17555555555555555,0.38,0.20701605488365513,0.4361421988150099
32,50,1.092156,0.176,0.18,0.21047576359095857,0.2435723951285521
32,50,1.198622,0.17636363636363636,0.18,0.20970080018555026,0.20227133210558626
26,50,1.309799,0.18166666666666667,0.24,0.2162965321446576,0.28745699092899596
28,50,1.418055,0.18461538461538463,0.22,0.21964707038930398,0.26175391797265757
36,50,1.52815,0.18142857142857144,0.14,0.21608739281153075,0.17025316455696202
26,50,1.633689,0.18533333333333332,0.24,0.22244203360987025,0.3105629348513599
22,50,1.729146,0.19125,0.28,0.22834567311519782,0.3141620284477427
30,50,1.844257,0.19176470588235295,0.2,0.22778078408688027,0.219300866447565
38,50,1.957446,0.18777777777777777,0.12,0.22255533021779383,0.13262684649967887
26,50,2.060221,0.19052631578947368,0.24,0.22606423078856108,0.2926992632283992
40,50,2.177253,0.186,0.1,0.22144744802114177,0.13320525136087097
30,50,2.287434,0.18666666666666668,0.2,0.22088055269377613,0.209717868338558
36,50,2.401038,0.18454545454545454,0.14,0.2194906414788202,0.18915343915343916
34,50,2.51226,0.18347826086956523,0.16,0.21787732655345374,0.18456476218965
28,50,2.616429,0.185,0.22,0.2191624550651969,0.25
30,50,2.725067,0.1856,0.2,0.21908686167702102,0.2171885409726849
28,50,2.837087,0.18692307692307691,0.22,0.22130544589657455,0.2760465848284545
32,50,2.952476,0.18666666666666668,0.18,0.22214986027565956,0.24601524601524602
36,50,3.063534,0.185,0.14,0.22034111003365467,0.1726506400249766
36,50,3.174927,0.18344827586206897,0.14,0.2181275010196995,0.15467625899280577
34,50,3.28833,0.18266666666666667,0.16,0.21758529624739106,0.20219092331768387
22,50,3.392433,0.18580645161290324,0.28,0.2206568890725057,0.31971153846153844
36,50,3.510501,0.184375,0.14,0.2193877040402726,0.1797353985156502
42,50,3.630517,0.1812121212121212,0.08,0.21588802283029673,0.1031592520954223
34,50,3.740865,0.18058823529411766,0.16,0.21558074987063086,0.20588235294117646
38,50,3.856909,0.17885714285714285,0.12,0.21237416912766405,0.10200777202072539
34,50,3.96946,0.17833333333333334,0.16,0.21162635306695177,0.18314763231197773
34,50,4.082551,0.17783783783783783,0.16,0.21170070855638135,0.21430802874101842
30,50,4.188413,0.17842105263157895,0.2,0.21291485258574955,0.25537715843683734
32,50,4.299684,0.17846153846153845,0.18,0.21251682147897724,0.19737263697532842
30,50,4.409784,0.179,0.2,0.21314699627432482,0.23707165109034267
38,50,4.525578,0.1775609756097561,0.12,0.2116161537381647,0.15063694267515923
32,50,4.632096,0.17761904761904762,0.18,0.21099231285461534,0.18350515463917524
34,50,4.748695,0.1772093023255814,0.16,0.21022541166661704,0.17883895131086142
36,50,4.86181,0.17636363636363636,0.14,0.21014055421844438,0.20657276995305165
36,50,4.976275,0.17555555555555555,0.14,0.20898782084115872,0.15685629727063466
40,50,5.093285,0.17391304347826086,0.1,0.20721673882477412,0.12685603615235636
38,50,5.210205,0.1727659574468085,0.12,0.20556961334633775,0.1253812267028126
40,50,5.329268,0.17125,0.1,0.20398988479910088,0.12303390422929046
40,50,5.441568,0.16979591836734695,0.1,0.2022230684384684,0.1090331686661962
40,50,5.55753,0.1684,0.1,0.20059270116161715,0.12411456729288574
32,50,5.663325,0.16862745098039217,0.18,0.20065234365161322,0.20350445742391637
38,50,5.772193,0.1676923076923077,0.12,0.19978108554360666,0.15198618307426598
26,50,5.874391,0.16905660377358492,0.24,0.20192797689825037,0.3128795142217961
26,50,5.978914,0.17037037037037037,0.24,0.2031441526139785,0.26536312849162014
40,50,6.096644,0.1690909090909091,0.1,0.20153964858134885,0.11225165562913907
28,50,6.198924,0.17,0.22,0.20219983139978323,0.23643528341921793
32,50,6.316319,0.17017543859649123,0.18,0.20276440546116642,0.23535253227408143
24,50,6.418093,0.17172413793103447,0.26,0.2041441251875765,0.28075117370892017
30,50,6.529374,0.17220338983050848,0.2,0.2048571973100275,0.2470511140235911
26,50,6.636707,0.17333333333333334,0.24,0.20572961281480212,0.2567696718700223
22,50,6.738028,0.17508196721311475,0.28,0.20766391262907904,0.3235011221545367
36,50,6.854302,0.17451612903225808,0.14,0.20733659749747416,0.18729851708575113
44,50,6.975236,0.1726984126984127,0.06,0.20516766894302313,0.07496111975116641
26,50,7.078688,0.17375,0.24,0.20599386352109353,0.26157010627356875
